Weight,Defects,30 Mil Samples
50.993428306022466,0.0,49.801648272441234
49.72347139765763,0.0,45.20783542333917
51.29537707620138,0.0,52.4130714469086
53.04605971281605,0.0,46.90988718518713
49.53169325055333,0.0,55.97051800520682
49.53172608610164,0.0,49.4449114873689
53.15842563101478,0.0,50.57454502805486
51.53486945830582,0.0,52.514298433725145
49.0610512281301,0.0,48.71290033536508
51.08512008717193,0.0,49.95174982577999
49.073164614375074,0.0,47.48299017864933
49.06854049285948,0.0,48.85259999212284
50.48392454313207,0.0,50.586144946597365
46.1734395106844,0.0,51.987564429060875
46.550164334973935,0.0,48.27444847191376
48.875424941518055,0.0,51.92186435721652
47.97433775933115,0.0,49.84501140021403
50.628494665190544,0.0,50.10177540371203
48.18395184895758,0.0,47.64215301740335
47.17539259732942,0.0,50.351072459157194
52.93129753784311,0.0,53.32251842909574
49.54844739902693,0.0,51.950239466835505
50.13505640937585,0.0,51.00380046740134
47.15050362757309,0.0,46.26659882639212
48.91123455094964,1.0,49.31361544900518
50.22184517941973,0.0,51.92781386815172
47.6980128451554,0.0,48.32221465194853
50.75139603669135,0.0,48.569392581480066
48.79872262016239,0.0,47.11457042799457
49.41661250041345,0.0,49.80931781760663
48.79658677554121,0.0,50.99644349699357
53.70455636901787,0.0,48.06051256073065
49.973005550524135,0.0,49.16761119022949
47.8845781420882,0.0,50.002651377468815
51.64508982420638,0.0,47.7856863663951
47.558312700057954,0.0,52.784911882966135
50.41772719000951,0.0,49.67441418785541
46.08065975224045,0.0,48.850796283633215
47.34362790220314,0.0,48.34900560641498
50.39372247173824,0.0,50.133981434449744
51.47693315999082,0.0,48.066047713741575
50.34273656237994,0.0,52.19309423646051
49.76870343522352,0.0,50.789343059645965
49.39779260882142,0.0,50.321299880706235
47.04295601926515,0.0,50.27532388173609
48.560311583210584,0.0,48.37397125547974
49.07872245808043,0.0,45.87319369504109
52.11424445243783,0.0,50.19486822059461
50.68723657913692,0.0,53.168988750314114
46.47391968927453,0.0,51.12576172034871
50.64816793878959,0.0,48.77319467291812
49.22983543916737,0.0,51.724447023773955
48.646155999388085,0.0,47.881572956222094
51.22335257768174,0.0,50.850915123569926
52.0619990449919,0.0,49.491047846709314
51.8625602382324,0.0,51.07751198489274
